country,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124071811,1,1,1,1,10,10,9,Not a religious person,4,Male,1970,49,Living together as married,Full time
CAN,124071813,1,2,1,2,3,3,5,Not a religious person,9,Female,1962,58,Married,Self employed
CAN,124071814,1,1,2,2,9,8,7,An atheist,6,Male,1960,60,Single,Retired/pensioned
CAN,124071816,1,2,2,2,7,7,6,Not a religious person,4,Female,1973,47,Single,Full time
CAN,124071817,1,1,2,4,10,8,7,A religious person,2,Female,1949,70,Divorced,Retired/pensioned
CAN,124071820,1,3,1,1,7,4,8,Not a religious person,7,Male,1990,30,Single,Self employed
CAN,124071821,1,2,2,1,7,7,5,A religious person,1,Female,1952,68,Widowed,Retired/pensioned
CAN,124071823,1,1,2,2,8,8,7,A religious person,5,Female,2001,19,Single,Student
CAN,124071824,1,2,1,1,7,7,7,Not a religious person,5,Female,1995,25,Living together as married,Full time
CAN,124071825,1,2,2,1,9,8,7,A religious person,3,Female,1955,65,Married,Full time
CAN,124071826,2,2,2,2,6,6,6,Not a religious person,6,Female,1990,29,Single,Homemaker not otherwise employed
CAN,124071827,1,1,1,1,6,6,7,Not a religious person,5,Male,1996,24,Single,Full time
CAN,124071829,1,1,2,2,8,8,6,Not a religious person,3,Female,1980,39,Married,Full time
CAN,124071830,1,1,2,2,7,8,7,An atheist,3,Female,1992,28,Married,Student
CAN,124071831,1,1,1,2,8,8,7,Not a religious person,7,Male,1965,54,Married,Full time
CAN,124071833,1,1,1,2,4,3,1,Not a religious person,4,Male,1992,27,Living together as married,Student
CAN,124071834,1,1,2,2,7,5,3,Not a religious person,5,Female,1999,21,Single,Student
CAN,124071836,1,2,3,2,5,4,4,A religious person,5,Female,1955,65,Living together as married,Retired/pensioned
CAN,124071837,1,1,1,3,8,9,8,Not a religious person,3,Male,1938,82,Living together as married,Retired/pensioned
CAN,124071839,2,2,2,1,8,8,4,An atheist,5,Female,1994,26,Single,Full time
CAN,124071840,1,1,2,1,7,6,4,Not a religious person,5,Female,1982,37,Separated,Full time
CAN,124071841,1,1,2,2,9,8,8,A religious person,7,Male,1961,59,Married,Retired/pensioned
CAN,124071844,1,1,1,2,7,4,4,Not a religious person,5,Male,1989,31,Single,Full time
CAN,124071845,1,1,2,1,8,3,1,A religious person,5,Female,1997,22,Single,Unemployed
CAN,124071846,1,1,3,1,9,9,9,Not a religious person,5,Female,2001,19,Single,Student
CAN,124071847,1,1,1,2,8,8,6,A religious person,5,Female,1955,65,Married,Retired/pensioned
CAN,124071848,1,1,1,2,7,4,4,A religious person,3,Male,1994,26,Single,Part time
CAN,124071849,4,2,1,4,6,5,1,Not a religious person,5,Male,1938,82,Single,Retired/pensioned
CAN,124071850,1,2,2,2,10,9,9,An atheist,5,Male,1967,53,Married,Full time
CAN,124071851,2,1,1,1,7,8,6,An atheist,2,Female,1998,22,Single,Part time
CAN,124071852,1,1,2,2,8,8,9,Not a religious person,3,Female,1955,65,Married,Retired/pensioned
CAN,124071854,1,2,2,1,8,8,9,A religious person,6,Female,1954,65,Married,Retired/pensioned
CAN,124071855,1,1,2,1,8,8,8,Not a religious person,3,Female,1950,70,Single,Retired/pensioned
CAN,124071856,1,1,2,2,7,9,7,Not a religious person,3,Female,1984,36,Married,Full time
CAN,124071857,1,2,3,4,8,8,10,An atheist,5,Male,1947,73,Married,Retired/pensioned
CAN,124071858,1,1,1,1,7,10,8,Not a religious person,5,Female,1956,64,Married,Retired/pensioned
CAN,124071860,1,1,2,1,8,8,8,Not a religious person,7,Female,1977,43,Married,Full time
CAN,124071861,2,2,1,3,8,8,8,Not a religious person,5,Female,1954,66,Living together as married,Retired/pensioned
CAN,124071864,1,2,2,2,8,8,7,Not a religious person,3,Female,1961,58,Married,Part time
CAN,124071866,1,2,1,1,5,5,5,Not a religious person,5,Male,1967,53,Divorced,Full time
CAN,124071867,1,1,1,2,10,7,5,Not a religious person,5,Male,1982,38,Single,Full time
CAN,124071868,1,2,1,4,7,6,6,Not a religious person,5,Female,1953,67,Married,Retired/pensioned
CAN,124071871,1,2,1,2,7,6,5,A religious person,6,Female,1984,36,Married,Unemployed
CAN,124071872,1,1,2,1,5,4,4,A religious person,5,Male,1954,66,Widowed,Retired/pensioned
CAN,124071873,1,2,1,1,10,9,9,An atheist,5,Male,1960,60,Married,Self employed
CAN,124071874,1,1,2,1,7,7,5,An atheist,5,Male,1956,64,Single,Retired/pensioned
CAN,124071876,1,3,2,2,7,5,1,Not a religious person,7,Female,1969,50,Single,Other
CAN,124071877,1,1,2,2,6,7,6,Not a religious person,7,Male,1988,32,Single,Full time
CAN,124071880,2,2,2,2,8,6,4,Not a religious person,5,Female,1961,59,Single,Self employed
CAN,124071881,1,2,2,2,8,8,9,A religious person,6,Female,1991,29,Living together as married,Student
CAN,124071882,2,2,2,3,8,8,8,A religious person,5,Female,1954,66,Married,Retired/pensioned
CAN,124071885,1,2,2,2,7,6,6,A religious person,8,Female,1953,67,Divorced,Retired/pensioned
CAN,124071887,1,3,1,2,10,7,6,Not a religious person,10,Male,1963,57,Married,Self employed
CAN,124071888,1,1,2,2,10,8,7,Not a religious person,5,Female,1980,40,Single,Full time
CAN,124071889,1,2,2,2,9,7,9,A religious person,3,Female,1979,41,Married,Full time
CAN,124071891,2,2,1,2,8,9,8,An atheist,6,Male,1995,25,Living together as married,Full time
CAN,124071892,1,1,2,1,4,5,2,A religious person,5,Female,1955,65,Divorced,Retired/pensioned
CAN,124071893,1,1,1,1,10,9,9,A religious person,8,Female,1971,48,Married,Self employed
CAN,124071895,1,1,1,2,8,4,5,Not a religious person,4,Female,1966,53,Living together as married,Full time
CAN,124071896,2,2,2,2,8,6,4,Not a religious person,4,Male,1960,60,Married,Self employed
CAN,124071898,1,2,4,4,5,8,8,A religious person,5,Female,1967,52,Married,Homemaker not otherwise employed
CAN,124071901,2,2,1,2,7,5,6,A religious person,6,Female,1979,41,Married,Full time
CAN,124071902,1,1,1,3,8,9,10,Not a religious person,5,Male,1961,59,Married,Retired/pensioned
CAN,124071904,2,2,2,2,7,6,7,Not a religious person,10,Male,1968,52,Divorced,Full time
CAN,124071905,1,1,1,1,8,5,1,A religious person,3,Male,1973,46,Single,Full time
CAN,124071906,2,2,1,1,8,8,8,An atheist,3,Male,1988,32,Married,Full time
CAN,124071908,1,1,1,1,8,8,7,Not a religious person,5,Female,1972,48,Married,Self employed
CAN,124071909,1,1,2,2,8,5,4,Not a religious person,5,Female,1999,21,Single,Student
CAN,124071910,3,2,2,2,7,6,8,Not a religious person,4,Male,1987,33,Married,Full time
CAN,124071912,1,1,1,2,9,9,8,Not a religious person,5,Female,1990,29,Single,Full time
CAN,124071913,2,1,2,2,6,5,2,A religious person,5,Male,1972,48,Single,Full time
CAN,124071914,1,1,1,1,5,6,6,A religious person,6,Female,1953,67,Divorced,Self employed
CAN,124071915,1,1,1,3,6,5,3,A religious person,3,Female,2002,18,Single,Part time
CAN,124071916,2,2,2,1,8,7,8,Not a religious person,7,Male,1994,26,Living together as married,Full time
CAN,124071917,1,1,1,1,8,9,9,An atheist,5,Male,1985,34,Living together as married,Full time
