ID,country,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,political_scale,birthyear,age,religiousity,sex,marital_status,employment
702070393,SGP,1,2,2,1,3,8,8,10,1942,77,A religious person,Male,Married,Retired/pensioned
702070394,SGP,1,2,2,1,10,7,9,5,1976,44,A religious person,Female,Single,Part time
702070395,SGP,1,2,2,2,7,7,10,5,1958,61,A religious person,Female,Single,Full time
702070396,SGP,1,2,4,4,2,1,2,9,1937,82,A religious person,Female,Widowed,Homemaker
702070397,SGP,1,1,1,1,9,8,8,10,1970,49,An atheist,Female,Married,Homemaker
702070398,SGP,1,2,2,2,8,8,8,9,1968,51,,Female,Divorced,Self employed
702070399,SGP,1,2,2,2,8,7,8,-1,1989,31,Not a religious person,Female,Single,Full time
702070400,SGP,1,1,2,2,7,7,5,5,1995,24,An atheist,Male,Single,Unemployed
702070401,SGP,1,1,2,1,7,6,3,4,1996,24,Not a religious person,Female,Single,Full time
702070402,SGP,1,1,1,1,10,10,5,5,1963,56,A religious person,Male,Widowed,Part time
702070403,SGP,1,2,2,2,7,8,6,-1,1937,82,A religious person,Female,Widowed,Retired/pensioned
702070404,SGP,1,2,2,1,7,3,7,5,1980,40,A religious person,Female,Married,Full time
702070405,SGP,1,1,2,1,5,8,8,6,1949,70,A religious person,Female,Widowed,Retired/pensioned
702070406,SGP,1,1,1,2,7,6,7,6,1990,30,A religious person,Male,Married,Full time
702070407,SGP,1,1,1,2,7,7,5,4,1987,33,A religious person,Female,Single,Full time
702070408,SGP,1,2,2,1,8,8,8,5,1969,50,Not a religious person,Female,Single,Full time
702070409,SGP,1,2,3,2,8,8,8,6,1975,44,An atheist,Female,Married,Full time
702070410,SGP,1,4,2,4,2,6,9,10,1935,84,A religious person,Female,Widowed,Retired/pensioned
702070411,SGP,1,2,2,2,8,8,9,6,1978,42,A religious person,Male,Married,Full time
702070412,SGP,1,2,3,1,8,10,8,10,1971,49,A religious person,Male,Married,Full time
702070413,SGP,1,2,2,2,8,7,7,9,1991,28,Not a religious person,Male,Single,Full time
702070414,SGP,1,2,2,4,7,7,8,3,1967,52,A religious person,Female,Married,Homemaker
702070415,SGP,1,1,2,1,9,7,8,4,1997,22,A religious person,Male,Single,Student
702070416,SGP,1,1,1,3,10,10,10,3,1942,78,A religious person,Female,Divorced,Retired/pensioned
702070417,SGP,1,1,2,2,8,6,6,8,1935,84,A religious person,Female,Widowed,Retired/pensioned
702070418,SGP,1,1,1,1,8,10,10,3,1958,61,A religious person,Female,Married,Retired/pensioned
702070419,SGP,1,1,1,2,5,5,6,4,1990,29,,Female,Single,Full time
702070420,SGP,1,2,2,1,7,7,7,2,1957,62,Not a religious person,Female,Single,Full time
702070421,SGP,1,1,2,1,7,8,8,4,1982,38,A religious person,Female,Married,Full time
702070422,SGP,1,1,1,1,10,10,10,2,1937,82,An atheist,Female,Widowed,Self employed
702070423,SGP,1,2,4,1,2,3,2,5,1989,30,Not a religious person,Male,Married,Full time
702070424,SGP,1,1,2,2,7,7,7,1,1998,21,Not a religious person,Male,Single,Other
702070425,SGP,1,2,2,2,6,8,9,3,1971,48,An atheist,Female,Married,Full time
702070426,SGP,1,2,2,2,8,8,8,8,1961,59,A religious person,Female,Divorced,Part time
702070427,SGP,2,2,2,2,2,1,1,7,1950,69,Not a religious person,Male,Married,Unemployed
702070428,SGP,1,2,1,1,6,8,8,7,1952,67,A religious person,Male,Married,Full time
702070429,SGP,1,2,3,1,4,9,6,7,1987,33,Not a religious person,Male,Married,Full time
702070430,SGP,1,2,3,1,3,10,6,2,1971,48,A religious person,Male,Married,Full time
702070431,SGP,1,2,2,2,8,8,10,2,1974,45,Not a religious person,Male,Married,Full time
702070432,SGP,1,3,1,1,5,7,6,3,1982,37,Not a religious person,Female,Single,Part time
702070433,SGP,1,2,2,3,7,4,4,4,1958,62,A religious person,Male,Single,Unemployed
702070434,SGP,1,1,1,1,5,10,5,5,1979,40,A religious person,Female,Married,Full time
